[猎户] --> [Thợ săn] <<>> [猎户] --> [Liệp Hộ] | **3. 猎户 (Liệp Hộ)** (nam, tuổi trung niên, là những người săn bắn, có thể là người dân thường)

[古月方正] --> [Cổ Nguyệt Phương Chính] <<>> [古月方正] --> [Cổ Nguyệt Phương Chánh] | - Có mối quan hệ anh em với 古月方正 (Cổ Nguyệt Phương Chính).

[古月一族] --> [Cổ Nguyệt tộc] <<>> [古月一族] --> [Cổ Nguyệt Nhất Tộc] | **8. 古月一族 (Cổ Nguyệt Nhất Tộc)** (là một gia tộc, có thể là một gia tộc Cổ Sư)

[四代族长] --> [Tộc trưởng đời thứ tư] <<>> [四代族长] --> [Tứ Đại Tộc Trường] | **9. 四代族长 (Tứ Đại Tộc Trưởng)** (nam, có thể là tuổi trung niên, là tộc trưởng đời thứ tư của Cổ Nguyệt Nhất Tộc, là một Cổ Sư năm chuyển, có tính cách tham vọng, mưu mô)

[舅父] --> [Cậu] <<>> [舅父] --> [Cữu Phụ], [舅母] --> [mợ] <<>>  [舅母] --> [Cữu Mẫu] | - Có mối quan hệ bị ảnh hưởng bởi舅父 (Cậu Phụ) và 舅母 (Cậu Mẫu).

[学堂家老] --> [Gia lão học đường] <<>> [学堂家老] --> [Học Đường Gia Lão] | **9. 学堂家老 (Học Đường Gia Lão)** là nam, tuổi trung niên, là người phụ trách học đường, là một trong những nhân vật quan trọng trong câu chuyện, là một Cổ sư hạng Tam.

[其他学员] --> [Những học viên khác] <<>> [其他学员] --> [Kỳ Tha Học Viên] | **11. 其他学员 (Các học viên khác)** là nam và nữ, 15 tuổi, là những học viên trong học đường, có mối quan hệ phức tạp với Phương Nguyên (ban đầu không coi trọng Phương Nguyên, sau đó dần e sợ Phương Nguyên).

[客栈伙计] --> [Tiểu nhị khách sạn] <<>> [客栈伙计] --> [Khách Sạn Hỏa Kế] | **12. 客栈伙计 (Khách sạn tiểu nhị)** là nam, là những người làm việc trong khách sạn, có mối quan hệ với Phương Nguyên (Phương Nguyên là khách hàng lớn của khách sạn).

[治疗蛊师] --> [Cổ sư trị liệu] <<>> [治疗蛊师] --> [Trì Liệu Cổ Sư] | **14. 治疗蛊师 (Chữa trị Cổ sư)** là nam và nữ, là những Cổ sư chuyên chữa trị thương tích, có mối quan hệ với Học Đường Gia Lão.

[采药者] --> [Người hái thuốc] <<>> [采药者] --> [Thải Dược Giả] | **15. 采药者 (Thuốc thảo giả)** là nam và nữ, là những người đi hái thuốc, xuất hiện trong cảnh vật.

[希望蛊] --> [Cổ Hy Vọng] <<>> [希望蛊] --> [Hy Vọng Cổ] | **2. 希望蛊 (Hy Vọng Cổ)** là sâu, có thể là nữ, vai trò là người bạn đồng hành và là nguồn động lực cho Nhân Tổ, giúp Nhân Tổ có thêm sức mạnh và hy vọng.

[智慧蛊] --> [Cổ Trí Tuệ] <<>> [智慧蛊] --> [Trí Tuệ Cổ] | **7. 智慧蛊 (Trí Huệ Cổ)** là sâu, giới tính không rõ, vai trò là sâu giúp Nhân Tổ có thêm trí tuệ, nhưng đã rời xa Nhân Tổ.

[乖孙子] --> [Cháu trai ngoan] <<>> [乖孙子] --> [Quai Tôn Tử] | **10. 乖孙子 (Quay Tôn Tử)** là nam, tuổi nhỏ, là cháu trai của Lão Nhân, vai trò là người nghe chuyện về Nhân Tổ, thể hiện sự tò mò và ham học hỏi.

[舅父舅母] --> [Cậu mợ] <<>> [舅父舅母] --> [Cữu Phụ Cữu Mẫu] | **14. 舅父舅母 (Cữu Phụ Cữu Mẫu)** là nam và nữ, tuổi trung niên, vai trò là người thân của Phương Nguyên, có tính cách tham lam, muốn chiếm đoạt tài sản của cha mẹ Phương Nguyên.

[贾富] --> [Giả Phú] <<>> [贾富] --> [Cổ Phú] | **21. 贾富 (Giả Phú)** là nam, tuổi trung niên, vai trò là người đứng đầu đoàn thương nhân, có khả năng võ công, có trách nhiệm quản lý và bảo vệ đoàn thương nhân.

[贾金生] --> [Cổ Kim Sinh] <<>> [贾金生] --> [Cổ Kim Sanh] | **22. 贾金生 (Giả Kim Sinh)** là nam, tuổi trẻ, vai trò là một trong những nhân vật phụ, là em trai của Giả Phú, có khả năng võ công, có tính cách tham lam, gian xảo, bị Phương Nguyên giết chết.

[捕神铁血冷] --> [Bộ Thần Thiết Huyết] <<>> [捕神铁血冷] --> [Bổ Thần Thiết Huyết Lãnh] | **12. 捕神铁血冷 (Bổ Thần Thiết Huyết Lạnh)** là nam, là một nhân vật có tiếng tăm trong giới chính đạo, có khả năng truy tìm manh mối.

[黒豕蛊] --> [Tỳ Cổ] <<>> [黒豕蛊] --> [黒 Thỉ Cổ] | **18. 黒豕蛊 (Hắc Thỉ Cổ)** là một con sâu bướm cấp 1, bị Giả Kim Sinh lợi dụng để lừa đảo.

[臭屁肥虫] --> [Phì trùng rắm thối] <<>> [臭屁肥虫] --> [Xú Thí Phì Trùng] | **19. 臭屁肥虫 (Xấu Phí Phì Trùng)** là một con sâu bướm cấp 1, bị Giả Kim Sinh lợi dụng để lừa đảo.

[方正] --> [Phương Chính] <<>> [方正] --> [Phương Chánh] | * Là em trai của Phương Chính (方正).

[方源] --> [Phương Nguyên] <<>> [方源] --> [Phương Nguyên] | * **Vai trò:** Nhân vật phụ, có tư chất tốt, có mối quan hệ cạnh tranh với Phương Nguyên (方源) và Cổ Nguyệt Phương Chính (方正).

[江牙] --> [Giang Nha] <<>> [江牙] --> [Giang Nha], [江鹤] --> [Giang Hạc] <<>>  [江鹤] --> [Giang Hạc], [月兰花瓣] --> [Cánh hoa nguyệt lan] <<>>  [月兰花瓣] --> [Nguyệt Lan Hoa Biện] | **14. 江牙 (Giang Nha)** là nam, tuổi trẻ, là em trai của Giang Hạc (江鹤), có cửa hàng bán hoa nguyệt lan (月兰花瓣).

[伙计] --> [Tiểu nhị] <<>> [伙计] --> [Hỏa Kế] | **17. 伙计 (Hỏa kế)** là nam, tuổi trẻ, là người làm việc trong quán rượu.

[粉豕蛊] --> [Phấn Thỉ cổ] <<>> [粉豕蛊] --> [Phấn Thỉ Cổ], [豕蛊] --> [Tỳ Cổ] <<>>  [豕蛊] --> [Thỉ Cổ] | **35. 粉豕蛊 (Phấn Thỉ Cổ)** là một loại Thỉ Cổ (豕蛊), có khả năng làm cho người sử dụng béo lên.

[花豕蛊] --> [Hoa Tị Cổ] <<>> [花豕蛊] --> [Hoa Thỉ Cổ] | **36. 花豕蛊 (Hoa Thỉ Cổ)** là một loại Thỉ Cổ (豕蛊), có khả năng tăng cường sức mạnh tạm thời.

[白豕蛊] --> [Bạch Thỉ cổ] <<>> [白豕蛊] --> [Bạch Thỉ Cổ] | **38. 白豕蛊 (Bạch Thỉ Cổ)** là một loại Thỉ Cổ (豕蛊), có khả năng tăng cường sức mạnh vĩnh viễn, giá trị rất cao.

[米酒] --> [Rượu gạo] <<>> [米酒] --> [Mễ Tửu] | **44. 米酒 (Mễ tửu)** là một loại rượu, được nhắc đến trong câu chuyện.

[栲栳] --> ["Cạch] <<>> [栲栳] --> [Khảo Lão] | **46. 栲栳 (Khảo lão)** là một loại đồ dùng bằng tre, được nhắc đến trong câu chuyện.

[山猪] --> [lợn rừng] <<>> [山猪] --> [Sơn Trư] | **48. 山猪 (Sơn trư)** là một loại lợn rừng, là đối tượng săn bắt chính trong câu chuyện.

[野兔] --> [Thỏ rừng] <<>> [野兔] --> [Dã Thỏ] | **49. 野兔 (Dã thỏ)** là một loại thỏ rừng, được nhắc đến trong câu chuyện.

[野狼] --> [Sói hoang] <<>> [野狼] --> [Dã Lang] | **51. 野狼 (Dã lang)** là một loại sói, được nhắc đến trong câu chuyện.

[蜂窝] --> [Tổ ong] <<>> [蜂窝] --> [Phong Oa] | **53. 蜂窝 (Phong oa)** là một tổ ong, được nhắc đến trong câu chuyện.

[兵蜂] --> [Ong lính] <<>> [兵蜂] --> [Binh Phong] | **54. 兵蜂 (Binh phong)** là một loại ong thợ, được nhắc đến trong câu chuyện.

[工蜂] --> [Ong thợ] <<>> [工蜂] --> [Công Phong] | **55. 工蜂 (Công phong)** là một loại ong thợ, được nhắc đến trong câu chuyện.

[弓箭] --> [Cung tiễn] <<>> [弓箭] --> [Cung Tiến] | **58. 弓箭 (Cung tiễn)** là một loại vũ khí, được nhắc đến trong câu chuyện.

[铁镐] --> [cuốc sắt] <<>> [铁镐] --> [Thiết Hạo] | **59. 铁镐 (Thiết cảo)** là một loại dụng cụ, được nhắc đến trong câu chuyện.

[铁锹] --> [xẻng] <<>> [铁锹] --> [Thiết 锹] | **60. 铁锹 (Thiết tiêu)** là một loại dụng cụ, được nhắc đến trong câu chuyện.

[铁锤] --> [Thiết chùy] <<>> [铁锤] --> [Thiết Chuy] | **61. 铁锤 (Thiết chuỳ)** là một loại dụng cụ, được nhắc đến trong câu chuyện.

[古月] --> [Cổ Nguyệt] <<>> [古月] --> [Cổ Nguyệt], [家老] --> [Gia lão] <<>>  [家老] --> [Gia Lão], [族长] --> [Tộc trưởng] <<>>  [族长] --> [Tộc Trường] | * Có quan hệ phức tạp với Gia tộc Cổ Nguyệt (古月), đặc biệt là các trưởng lão (家老) và tộc trưởng (族长).

[漠北] --> [Mạc Bắc] <<>> [漠北] --> [Mạc Bắc], [赤城] --> [Xích Thành] <<>>  [赤城] --> [Xích Thành] | * Có quan hệ cạnh tranh với Mạc Bắc (漠北), Xích Thành (赤城) và Phương Chính (方正).

[青书] --> [Thanh Thư] <<>> [青书] --> [Thanh Thư], [甲等] --> [Giáp đẳng] <<>>  [甲等] --> [Giáp Đẳng], [青书组] --> [Tổ Thanh Thư] <<>>  [青书组] --> [Thanh Thư Tổ] | **12. 青书 (Thanh Thư)** là nữ, tuổi trẻ, có tư chất học tập hạng Nhất (甲等), có năng lực võ công, là người lãnh đạo của một nhóm trong gia tộc Cổ Nguyệt (青书组).

[空井] --> [giếng không] <<>> [空井] --> [Không Tỉnh] | **3. 空井 (Không Tỉnh)** là nam, có thể là một trong những nhân vật phụ, có mối quan hệ đồng nghiệp với Phương Nguyên và Giác Tam.

[侦察蛊师] --> [Cổ sư trinh sát] <<>> [侦察蛊师] --> [Trinh Sát Cổ Sư] | **16. 侦察蛊师 (Trinh sát Cổ sư)** là nam, tuổi thanh niên, là một trong những nhân vật phụ, có mối quan hệ đồng nghiệp với Phương Nguyên.

[沈嬷嬷] --> [Thẩm ma ma] <<>> [沈嬷嬷] --> [Trầm Ma Ma] | **8. 沈嬷嬷 (Thẩm Mẫu Mẫu)** là nữ, tuổi trung niên, là quản gia của Cổ Nguyệt Đông Thổ.

[贾贵] --> [Giả Quý] <<>> [贾贵] --> [Cổ Quý] | **14. 贾贵 (Giả Quý)** là nam, anh trai của Giả Phú, có mối quan hệ cạnh tranh với Giả Phú.

